GS,  Equalized Pixel Modifier
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0.00360107
32, 0.00360107
33, 0.00360107
34, 0.00816345
35, 0.00816345
36, 0.0118561
37, 0.0134277
38, 0.0134277
39, 0.0134277
40, 0.029541
41, 0.0339813
42, 0.0424957
43, 0.0483551
44, 0.0507507
45, 0.0573425
46, 0.0712738
47, 0.0712738
48, 0.0740356
49, 0.0996552
50, 0.103348
51, 0.112259
52, 0.112259
53, 0.112259
54, 0.129349
55, 0.133163
56, 0.133163
57, 0.13768
58, 0.147232
59, 0.147232
60, 0.147232
61, 0.157822
62, 0.16037
63, 0.16037
64, 0.16037
65, 0.170776
66, 0.173645
67, 0.179825
68, 0.179825
69, 0.184647
70, 0.184647
71, 0.189346
72, 0.189346
73, 0.197037
74, 0.197037
75, 0.197037
76, 0.200195
77, 0.218719
78, 0.222519
79, 0.222519
80, 0.222519
81, 0.222519
82, 0.225525
83, 0.227829
84, 0.229416
85, 0.229416
86, 0.229416
87, 0.229416
88, 0.229721
89, 0.23526
90, 0.253708
91, 0.258911
92, 0.27153
93, 0.283386
94, 0.284821
95, 0.285065
96, 0.289719
97, 0.289719
98, 0.305176
99, 0.305176
100, 0.311432
101, 0.313095
102, 0.340073
103, 0.3479
104, 0.3479
105, 0.351303
106, 0.357407
107, 0.358398
108, 0.373383
109, 0.375153
110, 0.391327
111, 0.393585
112, 0.393585
113, 0.393967
114, 0.402832
115, 0.402832
116, 0.402832
117, 0.423309
118, 0.426346
119, 0.428452
120, 0.431381
121, 0.443253
122, 0.453888
123, 0.457489
124, 0.469742
125, 0.476746
126, 0.480865
127, 0.496506
128, 0.498871
129, 0.505539
130, 0.511765
131, 0.513626
132, 0.530106
133, 0.535782
134, 0.54805
135, 0.551056
136, 0.581116
137, 0.587143
138, 0.589066
139, 0.595825
140, 0.595825
141, 0.60202
142, 0.611511
143, 0.625931
144, 0.63147
145, 0.63562
146, 0.63562
147, 0.644211
148, 0.654907
149, 0.660904
150, 0.685379
151, 0.701675
152, 0.714447
153, 0.716537
154, 0.730087
155, 0.742523
156, 0.742523
157, 0.756363
158, 0.763153
159, 0.777222
160, 0.785446
161, 0.796097
162, 0.796265
163, 0.796371
164, 0.797302
165, 0.804901
166, 0.807648
167, 0.825073
168, 0.825348
169, 0.829727
170, 0.830353
171, 0.837067
172, 0.837067
173, 0.840912
174, 0.861343
175, 0.861343
176, 0.862946
177, 0.866425
178, 0.866425
179, 0.876617
180, 0.881485
181, 0.881485
182, 0.884628
183, 0.884628
184, 0.884628
185, 0.884628
186, 0.884628
187, 0.89296
188, 0.902908
189, 0.902908
190, 0.902908
191, 0.902908
192, 0.911667
193, 0.911667
194, 0.919296
195, 0.92308
196, 0.924896
197, 0.930298
198, 0.936447
199, 0.939926
200, 0.939926
201, 0.939926
202, 0.941757
203, 0.941757
204, 0.949234
205, 0.949234
206, 0.953537
207, 0.964554
208, 0.968674
209, 0.97876
210, 0.981064
211, 0.981064
212, 0.982544
213, 0.982544
214, 0.989578
215, 0.990707
216, 0.990707
217, 0.990707
218, 0.990707
219, 0.994812
220, 0.994812
221, 0.997055
222, 0.997055
223, 0.997055
224, 0.997055
225, 0.997055
226, 0.997055
227, 1
228, 1
229, 1
230, 1
231, 1
232, 1
233, 1
234, 1
235, 1
236, 1
237, 1
238, 1
239, 1
240, 1
241, 1
242, 1
243, 1
244, 1
245, 1
246, 1
247, 1
248, 1
249, 1
250, 1
251, 1
252, 1
253, 1
254, 1
255, 1
