GS,  Equalized Pixel Modifier
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 3.8147e-06
26, 3.05176e-05
27, 0.000114441
28, 0.000221252
29, 0.000461578
30, 0.000816345
31, 0.00133133
32, 0.00200653
33, 0.00286102
34, 0.00402832
35, 0.00563049
36, 0.00756836
37, 0.00988388
38, 0.0128517
39, 0.0163689
40, 0.0204964
41, 0.0253754
42, 0.0308266
43, 0.0370903
44, 0.0437889
45, 0.0508308
46, 0.0586052
47, 0.0664864
48, 0.0741425
49, 0.0820808
50, 0.0899124
51, 0.0976906
52, 0.105202
53, 0.112244
54, 0.118885
55, 0.125267
56, 0.131176
57, 0.136814
58, 0.141731
59, 0.146496
60, 0.151047
61, 0.154961
62, 0.158619
63, 0.162235
64, 0.165707
65, 0.169018
66, 0.172016
67, 0.175072
68, 0.178013
69, 0.180973
70, 0.184208
71, 0.187305
72, 0.190434
73, 0.193489
74, 0.196846
75, 0.200291
76, 0.203533
77, 0.206928
78, 0.210506
79, 0.214073
80, 0.217567
81, 0.221092
82, 0.224323
83, 0.227951
84, 0.231518
85, 0.235199
86, 0.238991
87, 0.242863
88, 0.246952
89, 0.251179
90, 0.255466
91, 0.260136
92, 0.26469
93, 0.269825
94, 0.275215
95, 0.281155
96, 0.287365
97, 0.294197
98, 0.301266
99, 0.309296
100, 0.316658
101, 0.323902
102, 0.331306
103, 0.338326
104, 0.345051
105, 0.351677
106, 0.357735
107, 0.363449
108, 0.369041
109, 0.374138
110, 0.37936
111, 0.384659
112, 0.389858
113, 0.395359
114, 0.400627
115, 0.405724
116, 0.411098
117, 0.416683
118, 0.422573
119, 0.42836
120, 0.434563
121, 0.441387
122, 0.448215
123, 0.455379
124, 0.463242
125, 0.471241
126, 0.480057
127, 0.488831
128, 0.497929
129, 0.507401
130, 0.516518
131, 0.525146
132, 0.533672
133, 0.541744
134, 0.549347
135, 0.556435
136, 0.563793
137, 0.570999
138, 0.578781
139, 0.586899
140, 0.595558
141, 0.604218
142, 0.613148
143, 0.622429
144, 0.631836
145, 0.641026
146, 0.649471
147, 0.658398
148, 0.667114
149, 0.675514
150, 0.684341
151, 0.693218
152, 0.702274
153, 0.712234
154, 0.722622
155, 0.732883
156, 0.74308
157, 0.75259
158, 0.761711
159, 0.770432
160, 0.778297
161, 0.785339
162, 0.792088
163, 0.798298
164, 0.803844
165, 0.809196
166, 0.814423
167, 0.81918
168, 0.823761
169, 0.828495
170, 0.83284
171, 0.837368
172, 0.842518
173, 0.847256
174, 0.851929
175, 0.856445
176, 0.860985
177, 0.8657
178, 0.869926
179, 0.87355
180, 0.877056
181, 0.880184
182, 0.883198
183, 0.885796
184, 0.888184
185, 0.890545
186, 0.89299
187, 0.895626
188, 0.898094
189, 0.900627
190, 0.903397
191, 0.906506
192, 0.909653
193, 0.913132
194, 0.916664
195, 0.92054
196, 0.923882
197, 0.927238
198, 0.930641
199, 0.933784
200, 0.937
201, 0.940472
202, 0.943707
203, 0.947018
204, 0.95047
205, 0.954235
206, 0.957848
207, 0.961918
208, 0.966129
209, 0.970066
210, 0.973637
211, 0.977634
212, 0.981216
213, 0.984322
214, 0.98695
215, 0.989094
216, 0.991009
217, 0.992455
218, 0.9939
219, 0.995079
220, 0.995911
221, 0.996819
222, 0.997604
223, 0.998272
224, 0.998726
225, 0.999023
226, 0.999287
227, 0.999496
228, 0.999706
229, 0.99979
230, 0.999866
231, 0.999897
232, 0.999924
233, 0.999947
234, 0.999977
235, 0.999981
236, 0.999981
237, 0.999981
238, 0.999985
239, 0.999985
240, 0.999985
241, 0.999985
242, 0.999992
243, 0.999992
244, 0.999996
245, 1
246, 1
247, 1
248, 1
249, 1
250, 1
251, 1
252, 1
253, 1
254, 1
255, 1
