GS, Pixel Percent
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 3.8147e-06
26, 2.67029e-05
27, 8.39233e-05
28, 0.000106812
29, 0.000240326
30, 0.000354767
31, 0.000514984
32, 0.000675201
33, 0.000854492
34, 0.0011673
35, 0.00160217
36, 0.00193787
37, 0.00231552
38, 0.00296783
39, 0.00351715
40, 0.0041275
41, 0.004879
42, 0.0054512
43, 0.00626373
44, 0.00669861
45, 0.00704193
46, 0.00777435
47, 0.00788116
48, 0.0076561
49, 0.00793839
50, 0.00783157
51, 0.00777817
52, 0.00751114
53, 0.00704193
54, 0.00664139
55, 0.00638199
56, 0.00590897
57, 0.00563812
58, 0.00491714
59, 0.00476456
60, 0.00455093
61, 0.00391388
62, 0.00365829
63, 0.00361633
64, 0.00347137
65, 0.00331116
66, 0.00299835
67, 0.00305557
68, 0.00294113
69, 0.00296021
70, 0.00323486
71, 0.00309753
72, 0.00312805
73, 0.00305557
74, 0.00335693
75, 0.00344467
76, 0.00324249
77, 0.00339508
78, 0.00357819
79, 0.00356674
80, 0.00349426
81, 0.00352478
82, 0.00323105
83, 0.00362778
84, 0.00356674
85, 0.00368118
86, 0.00379181
87, 0.00387192
88, 0.00408936
89, 0.00422668
90, 0.00428772
91, 0.00466919
92, 0.00455475
93, 0.00513458
94, 0.00539017
95, 0.00593948
96, 0.00621033
97, 0.00683212
98, 0.00706863
99, 0.00802994
100, 0.00736237
101, 0.00724411
102, 0.00740433
103, 0.00701904
104, 0.00672531
105, 0.00662613
106, 0.00605774
107, 0.00571442
108, 0.00559235
109, 0.00509644
110, 0.00522232
111, 0.00529861
112, 0.00519943
113, 0.00550079
114, 0.0052681
115, 0.00509644
116, 0.00537491
117, 0.00558472
118, 0.00588989
119, 0.0057869
120, 0.0062027
121, 0.00682449
122, 0.00682831
123, 0.007164
124, 0.00786209
125, 0.00799942
126, 0.00881577
127, 0.0087738
128, 0.00909805
129, 0.00947189
130, 0.00911713
131, 0.00862885
132, 0.00852585
133, 0.0080719
134, 0.00760269
135, 0.00708771
136, 0.00735855
137, 0.00720596
138, 0.00778198
139, 0.00811768
140, 0.00865936
141, 0.00865936
142, 0.00893021
143, 0.00928116
144, 0.00940704
145, 0.00918961
146, 0.00844574
147, 0.00892639
148, 0.00871658
149, 0.00839996
150, 0.00882721
151, 0.0088768
152, 0.00905609
153, 0.00996017
154, 0.0103874
155, 0.0102615
156, 0.0101967
157, 0.00951004
158, 0.00912094
159, 0.0087204
160, 0.00786591
161, 0.00704193
162, 0.0067482
163, 0.00621033
164, 0.00554657
165, 0.00535202
166, 0.00522614
167, 0.00475693
168, 0.00458145
169, 0.00473404
170, 0.00434494
171, 0.00452805
172, 0.00514984
173, 0.00473785
174, 0.004673
175, 0.0045166
176, 0.00453949
177, 0.00471497
178, 0.00422668
179, 0.00362396
180, 0.00350571
181, 0.00312805
182, 0.00301361
183, 0.00259781
184, 0.002388
185, 0.0023613
186, 0.00244522
187, 0.00263596
188, 0.00246811
189, 0.00253296
190, 0.00276947
191, 0.00310898
192, 0.00314713
193, 0.003479
194, 0.00353241
195, 0.00387573
196, 0.00334167
197, 0.00335693
198, 0.00340271
199, 0.00314331
200, 0.00321579
201, 0.00347137
202, 0.00323486
203, 0.00331116
204, 0.0034523
205, 0.00376511
206, 0.00361252
207, 0.00407028
208, 0.00421143
209, 0.00393677
210, 0.00357056
211, 0.0039978
212, 0.003582
213, 0.00310516
214, 0.00262833
215, 0.00214386
216, 0.00191498
217, 0.00144577
218, 0.00144577
219, 0.00117874
220, 0.000831604
221, 0.000907898
222, 0.000785828
223, 0.000667572
224, 0.000453949
225, 0.000297546
226, 0.000263214
227, 0.000209808
228, 0.000209808
229, 8.39233e-05
230, 7.62939e-05
231, 3.05176e-05
232, 2.67029e-05
233, 2.28882e-05
234, 3.05176e-05
235, 3.8147e-06
236, 0
237, 0
238, 3.8147e-06
239, 0
240, 0
241, 0
242, 7.62939e-06
243, 0
244, 3.8147e-06
245, 3.8147e-06
246, 0
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
255, 0
